Date,Open,High,Low,Close,Volume,OI,Acutal Open,Range High,Range Low,Range,Gap Up/Down,Trend,Trend Strength,5 Candle Strength,10 Candle Strength,50 Candle Strength,10 Candle,10 MA Trend,50 Candle,50 MA Trend
2024-12-18T00:00:00+05:30,1966.8,1984.95,1961.6,1979.15,3064095,0,1976.6,1984.95,1961.6,23.35,-9.8,UP,2.55,,,44.85,,,,
2024-12-17T00:00:00+05:30,1968,1982,1958,1976.6,5811050,0,1980.05,1982,1958,24,-12.05,DOWN,-3.45,,,58.45,,,,
2024-12-16T00:00:00+05:30,1995.45,1999.6,1977.6,1980.05,3119221,0,1999.7,1999.7,1977.6,22.1,-4.25,DOWN,-19.65,,,86.65,,,,
2024-12-13T00:00:00+05:30,1969.75,2006.45,1953.8,1999.7,5362693,0,1987,2006.45,1953.8,52.65,-17.25,UP,12.7,,,95.35,,,,
2024-12-12T00:00:00+05:30,1975.2,1998.8,1970.55,1987,6462130,0,1974.15,1998.8,1970.55,28.25,1.05,UP,12.85,,,111.4,,,,
2024-12-11T00:00:00+05:30,1955,1978,1952,1974.15,5025612,0,1948.55,1978,1948.55,29.45,6.45,UP,25.6,,,67.4,,,,
2024-12-10T00:00:00+05:30,1939,1965.6,1932,1948.55,6174921,0,1923.65,1965.6,1923.65,41.95,15.35,UP,24.9,,,48.3,,,,
2024-12-09T00:00:00+05:30,1924.2,1930.2,1897.2,1923.65,4274645,0,1922.4,1930.2,1897.2,33,1.8,UP,1.25,,,28.35,,,,
2024-12-06T00:00:00+05:30,1932.8,1937.95,1912.4,1922.4,3573331,0,1934.85,1937.95,1912.4,25.55,-2.05,DOWN,-12.45,,,23.8,,,,
2024-12-05T00:00:00+05:30,1900,1949.9,1888.95,1934.85,9050038,0,1889.25,1949.9,1888.95,60.95,10.75,UP,45.6,,,38.4,,,,
2024-12-04T00:00:00+05:30,1884,1913.95,1875,1889.25,4705573,0,1892.1,1913.95,1875,38.95,-8.1,DOWN,-2.85,,,-16.5,,,,
2024-12-03T00:00:00+05:30,1887,1899.75,1871.15,1892.1,4715792,0,1879.8,1899.75,1871.15,28.6,7.2,UP,12.3,,,-2.1,,,,
2024-12-02T00:00:00+05:30,1859,1882.8,1835.2,1879.8,2868263,0,1857.85,1882.8,1835.2,47.6,1.15,UP,21.95,,,-12.35,,,,
2024-11-29T00:00:00+05:30,1851.1,1877,1845,1857.85,5244346,0,1856.65,1877,1845,32,-5.55,UP,1.2,,,-94.7,,,,
2024-11-28T00:00:00+05:30,1914.9,1914.9,1851.65,1856.65,8468790,0,1924.5,1924.5,1851.65,72.85,-9.6,DOWN,-67.85,,,-93.6,,,,
2024-11-27T00:00:00+05:30,1930.1,1941.4,1911.75,1924.5,4447143,0,1924.15,1941.4,1911.75,29.65,5.95,UP,0.35,,,-19.6,,,,
2024-11-26T00:00:00+05:30,1904.95,1938.6,1897.3,1924.15,6850495,0,1889.7,1938.6,1889.7,48.9,15.25,UP,34.45,,,-26.3,,,,
2024-11-25T00:00:00+05:30,1916,1919.3,1882,1889.7,12764638,0,1902.25,1919.3,1882,37.3,13.75,DOWN,-12.55,,,-20.45,,,,
2024-11-22T00:00:00+05:30,1854.1,1914.05,1834,1902.25,6301486,0,1834.05,1914.05,1834,80.05,20.05,UP,68.2,,,-10.05,,,,
2024-11-21T00:00:00+05:30,1842,1867,1820.6,1834.05,5436504,0,1824.75,1867,1820.6,46.4,17.25,UP,9.3,,,-60.6,,,,
2024-11-19T00:00:00+05:30,1825.5,1859.7,1820.55,1824.75,4669769,0,1811.45,1859.7,1811.45,48.25,14.05,UP,13.3,,,-77.1,,,,
2024-11-18T00:00:00+05:30,1849.2,1849.2,1795,1811.45,4839244,0,1864.55,1864.55,1795,69.55,-15.35,DOWN,-53.1,,,-121.7,,,,
2024-11-14T00:00:00+05:30,1865.6,1876,1856,1864.55,4311431,0,1868.4,1876,1856,20,-2.8,DOWN,-3.85,,,-57.9,,,,
2024-11-13T00:00:00+05:30,1861.1,1873.2,1856.3,1868.4,4257495,0,1868.8,1873.2,1856.3,16.9,-7.7,DOWN,-0.4,,,-72.85,,,,
2024-11-12T00:00:00+05:30,1871.1,1881,1861,1868.8,5012450,0,1860.1,1881,1860.1,20.9,11,UP,8.7,,,-95.7,,,,
2024-11-11T00:00:00+05:30,1829,1868,1822.55,1860.1,3804234,0,1829.95,1868,1822.55,45.45,-0.95,UP,30.15,,,-83.6,,,,
